Hussain,date unknown ,,SGH Challengers,,,,,
Hussain,date unknown ,,SHJ Warriors,,,,,
Hussain,date unknown ,,Kazmi Knight Riders,,,,,
Hussain,date unknown ,,Ratnagiri Riders Cricket,,,,,
Hussain,date unknown ,,AWR 3,,,,,
Hussain,date unknown ,,Al Futtaim Carillion,,,,,
Hussain,date unknown ,,Al Jaber Plus Friends,,,,,
Hussain Ali,date unknown ,,Al Jeer CC,,,,,
Hussan,date unknown ,,Dhoom 8,,,,,
Hussein,date unknown ,,Captains,,,,,
Hussein,date unknown ,,Khiladi,,,,,
Huzafa,date unknown ,,Air Arabia,,,,,
Huzaifa,date unknown ,,Tiger CC,,,,,
Huzaifa,date unknown ,,Khiladi,,,,,
Hyder Shah,date unknown ,,UAE Blues,,,,,
Hyjin Ton,date unknown ,,PCC,,,,,
Irfan,date unknown ,,DIC Fighters,,,,,
Ian Rodrigo,date unknown ,,Hunters,,,,,
Ibrahim,date unknown ,,Young Blouch CC UAE,,,,,
Ibrahim,date unknown ,,Dutco Construction LLC,,,,,
Ibrahim,date unknown ,,Dutco Construction LLC,,,,,
Ibrar,date unknown ,,Moon Light CC,,,,,
Iburamsha Sammoon,date unknown ,,Rocking Stars,,,,,
Iddique Khan,date unknown ,,Alec,,,,,
Idress,date unknown ,,Gargash Smashers,,,,,
Idress,date unknown ,,High Star Medical CC,,,,,
Idress,date unknown ,,Been Chakwal CC,,,,,
Ifran,date unknown ,,Enoc,,,,,
Iftekhar Hussain,date unknown ,,Adam Global Dubai,,,,,
H Iftikhar,date unknown ,,Abu Dhabi XI,,,,,
Iftikhar Ali,January 1  1957  Sialkot  Punjab ,61 years 97 days,,,,,Umpire,
Iftikhar Hussain,date unknown ,,Desert Group Heros,,,,,
Ihsan,date unknown ,,Pakhtoon XI,,,,,
Ihsan Ali,date unknown ,,SS Lootah Spinners,,,,,
Ijaz,date unknown ,,Coca Cola,,,,,
Ijaz Ahmad,date unknown ,,Pakhtoon XI,,,,,
Ijaz Khan,date unknown ,,Asian Falcon,,,,,
Ikhtiar,date unknown ,,TOC Tigers,,,,,
Ikhtiar,date unknown ,,DIB Stars,,,,,
Ikhtiar Ahmed,date unknown ,,Asian Tigers,,,,,
Janarthanan Ilangovan,date unknown ,,Duke Boys,,,,,
Imad,date unknown ,,Dubai Qalandars,,,,,
Imad,date unknown ,,Etisalat Royals,,,,,
Imran,date unknown ,,Tiger CC,,,,,
Imran,October 8  1987  Mumbai ,30 years 182 days,Emrill Cricket Club,,,,,
Imran,date unknown ,,Dubai Strikers,,,,,
Imran,date unknown ,,Naik Riders Junior,,,,,
Imran,date unknown ,,Scorpions,,,,,
Imran,date unknown ,,Dream Killers,,,,,
Imran,date unknown ,,Alliance Insurance,,,,,
Imran,date unknown ,,Stallions,,,,,
Imran,date unknown ,,Tiger CC,,,,,
Imran,date unknown ,,Dubai Night Riders,,,,,
Imran,date unknown ,,Khoat CC,,,,,
Imran,date unknown ,,Al Mumtaz,,,,,
Imran,date unknown ,,SGH Warriors,,,,,
Imran,date unknown ,,Naik Cricketers,,,,,
Imran,date unknown ,,Pasha XI,,,,,
Imran,date unknown ,,Moon Light CC,,,,,
Imran,date unknown ,,Ratnagiri Riders Cricket,,,,,
Imran,date unknown ,,Heidelberg Warriors,,,,,
Imran,date unknown ,,Canpack,,,,,
Imran ,date unknown ,,Original Team 8,,,,,
Imran Kasam Mukadam,date unknown ,,Eppco,,,,,
Imran Khan,date unknown ,,DHL United,,,,,
Imran Ali Akbar,October 14  1981  Abu Dhabi  UAE ,36 years 176 days,United Arab Emirates,,Left-hand bat,,,
Imran Ali,date unknown ,,Dharti TV,,,,,
Imran Ali,date unknown ,,AL Naboodah Tigers,,,,,
Imran Bahar,date unknown ,,High Star Medical CC,,,,,
Imran Haider,October 31  1987  Lahore ,30 years 159 days,United Arab Emirates,Bowler,Right-hand bat,Legbreak googly,,
Imran Jnr,date unknown ,,Alliance Insurance,,,,,
Imran Khan,January 4  1986  Al Ain ,32 years 94 days,United Arab Emirates Under-17s,,Right-hand bat,Legbreak,,
Imran Khan,date unknown ,,Shagarah Panthers,,,,,
Imran Khan,date unknown ,,Dhoom 8,,,,,
Imran Khan,date unknown ,,Al Jeer CC,,,,,
Imran Khan,date unknown ,,DHL Sharjah,,,,,
Imran Khan,date unknown ,,Alliance Insurance,,,,,
Imran Masih,date unknown ,,DHL Sharjah,,,,,
Imran Shaikh,date unknown ,,BMCC Dubai,,,,,
Imran Sheikh,date unknown ,,Alliance Insurance,,,,,
Imran Snr,date unknown ,,Alliance Insurance,,,,,
Imran Sultan,date unknown ,,Averda,,,,,
Imran Zahid,date unknown ,,Butt XI,,,,,
Imran Zia,date unknown ,,Abu Dhabi XI,,,,,
Imtiaz Abbasi,February 6  1968  Poonch (now Punch)  Azad Kashmir  Pakistan ,50 years 61 days,United Arab Emirates ,,Right-hand bat,,Wicketkeeper,
Imtiaz Khaya,date unknown ,,Al Jeer CC,,,,,
Imtiyaz,date unknown ,,Al Sharqi Ship Company LLC,,,,,
Inam Ur,date unknown ,,Team Mavericks,,,,,
Inayat,date unknown ,,My Life,,,,,
Inayat Ullah,date unknown ,,Dharti TV,,,,,
Indika,date unknown ,,Metro CC,,,,,
Iqbal,date unknown ,,Metro CC,,,,,
Iqbal Ahmed,date unknown ,,United Arab Emirates,,,,,
Iraj,date unknown ,,Coca Cola,,,,,
Iraj,date unknown ,,Coca Cola,,,,,
Iresh,date unknown ,,The Westin Cricketers,,,,,
Irfan,date unknown ,,Star CC,,,,,
Irfan,date unknown ,,Etisalat Royals,,,,,
Irfan,date unknown ,,Red Knights,,,,,
Irfan,date unknown ,,Super Strikers,,,,,
Irfan,date unknown ,,RAK Bullet,,,,,
